Date,tbl_liquidity_index,tbl_liquidity_30d_change,S&P 500,Bitcoin
2024-09-28,58.3742918,3.265147,5738.17,65887.65
2024-09-27,58.3772484,3.424094,5738.17,65790.66
2024-09-26,58.7176657,3.560506,5745.37,65181.02
2024-09-25,58.3464784,2.83558,5722.26,63143.15
2024-09-24,58.2477808,2.566311,5732.93,64301.97
2024-09-23,57.8664774,2.185008,5718.57,63329.8
2024-09-22,58.2891142,2.626809,5702.55,63648.71
2024-09-21,58.2891142,3.320433,5702.55,63394.84
2024-09-20,58.3097613,3.419039,5702.55,63192.98
2024-09-19,57.9871369,3.243536,5713.64,62940.46
2024-09-18,57.2105977,2.495327,5618.26,61649.68
2024-09-17,56.7900457,1.222664,5634.58,60308.54
2024-09-16,56.8481114,1.280729,5633.09,58192.51
2024-09-15,56.8581729,1.221903,5626.02,59182.84
2024-09-14,56.8581729,1.486196,5626.02,60005.12
2024-09-13,56.8277767,1.736515,5626.02,60571.3
2024-09-12,56.9769623,3.523452,5595.76,58127.01
2024-09-11,56.2005665,2.968492,5554.13,57343.17
2024-09-10,55.6152374,1.134059,5495.52,57648.71
2024-09-09,56.1131461,1.631968,5471.05,57019.53
2024-09-08,55.7941846,1.432809,5408.42,54841.57
2024-09-07,55.7941846,1.877458,5408.42,54139.69
2024-09-06,55.7926758,2.118121,5408.42,53948.75
2024-09-05,54.8053756,1.913509,5503.41,56160.49
2024-09-04,54.1219408,1.363827,5520.07,57971.54
2024-09-03,54.4580384,0.640507,5528.93,57431.02
2024-09-02,55.2637128,1.446181,5648.4,59112.48
2024-09-01,55.2782181,1.239062,5648.4,57325.49
2024-08-31,55.0856948,0.153547,5648.4,58969.9
2024-08-30,54.9073183,-0.06428,5648.4,59119.47
2024-08-29,55.1091448,0.707825,5591.96,59388.18
2024-08-28,54.9531544,0.381373,5592.18,59027.63
2024-08-27,55.1571597,0.456238,5625.8,59504.13
2024-08-26,55.5108982,0.809977,5616.84,62880.66
2024-08-25,55.6814698,0.91383,5634.61,64333.54
2024-08-24,55.6814698,1.440096,5634.61,64178.99
2024-08-23,55.6623055,0.775787,5634.61,64094.36
2024-08-22,54.9686815,0.116639,5570.64,60381.91
2024-08-21,54.8907221,0.071863,5620.85,61175.19
2024-08-20,54.7436011,-0.11279,5597.12,59012.79
2024-08-19,54.7152704,-0.14112,5608.25,59493.45
2024-08-18,55.5673821,0.728782,5554.25,58483.96
2024-08-17,55.5673821,0.546185,5554.25,59478.97
2024-08-16,55.6362703,0.393994,5554.25,58894.1
2024-08-15,55.3719765,0.595007,5543.22,57560.1
